title,price,review_count,review_avg
"
MSI GP73 Leopard 8RD-289ES Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX 1050Ti/17.3""
",1199.0,15,4.6
"
Gigabyte AERO 15 OLED XA-7ES5130SP Intel Core i7-9750H/16GB/512GB SSD/RTX 2070/15.6""
",2389.0,1,5.0
"
Asus ZenBook UX480FD-BE010T Intel Core i7-8565U/16GB/512GB SSD/GTX 1050/14""
",1499.0,1,5.0
"
Huawei Matebook X Pro Intel Core i5-8250U/8GB/256GB SSD/MX150/13.9"" Táctil
",1499.0,4,4.8
"
MSI GS75 Stealth 8SF-065ES Intel Core i7-8750H/16GB/512GB SSD/RTX 2070/17.3""
",1899.0,6,4.3
"
MSI GE63 Raider RGB 8SF-031XES Intel Core i7-8750H/16GB/1TB + 512GB SSD/RTX 2070/15.6""
",1649.0,9,4.0
"
Apple MacBook Pro Intel Core i7 2.6GHz/16GB/256GB SSD/Radeon Pro 555X/15.4"" Plata
",2399.0,1,5.0
"
MSI GE75 Raider 8SE-034ES Intel Core i7-8750H/16GB/256GB SSD + 1TB/RTX 2060/17.3""
",1649.0,11,4.7
"
Asus FX504GE-DM286 Intel Core i7-8750H/8GB/1TB+256GB SSD/GTX1050Ti/15.6""
",898.0,34,4.3
"
MSI GS63 8RD-043XES Stealth Intel Core i7-8750H/16GB/1TB+256SSD/GTX1050Ti/15.6""
",1149.0,3,4.7
"
Acer Aspire 5 A517-51-5577 Intel Core i5-8250U/8GB/1TB/17.3""
",599.0,9,4.1
"
Lenovo Yoga 730-13IKB Intel Core i7-8550U/8GB/512GB SSD/13.3"" Táctil
",1399.0,6,4.2
"
Medion S3409 MD60667 Intel Core i7-7500U/8GB/256GB SSD/13,3""
",649.0,7,4.7
"
Acer Swift 3 SF315-41-R69U AMD Ryzen 5 2500U/8GB/256GB SSD/15.6""
",549.0,24,4.5
"
Acer Aspire 3 A315-53G-5947 Intel Core i5-8250U/8GB/1TB/MX130/15.6""
",499.0,5,4.4
"
Apple MacBook Pro Intel Core i9 2.3GHz/16GB/512GB SSD/Radeon Pro 650X/15.4"" Plata
",2829.0,2,5.0
"
Acer Aspire 3 A315-53-30VC Intel Core i3-7020U/8GB/128GB SSD/15.6""
",399.0,1,4.0
"
Lenovo Ideapad 330 Intel Core i7-8550U/8GB/256GB SSD/15.6"" Reacondicionado
",499.0,1,5.0
"
Acer Aspire A315-51-52N6 Intel Core i5-7200U/12GB/1TB+128GB SSD/15.6""
",669.0,28,4.3
"
Acer Nitro 5 AN515-52-53ED Intel Core i5-8300H/8GB/1TB+128GB SSD/GTX1050/15.6""
",899.0,20,4.1
"
MSI GS65 Stealth 8SE-038ES Intel Core i7-8750H/16GB/512GB SSD/RTX 2060/15.6""
",1699.0,4,5.0
"
HP 240 G6 Intel Celeron N4000/4GB/500GB/14""
",269.0,1,1.0
"
Apple MacBook Pro Intel Core i5/8GB/128GB/13"" Gris Espacial
",1229.0,57,4.7
"
Asus TUF Gaming FX705DD-AU026 AMD Ryzen 5-3550H/8GB/256GB SSD/GTX 1050/17.3""
",799.0,1,5.0
"
Asus VivoBook 15 R505ZA-BR675 Ryzen 5 2500U/8GB/256GB SSD/15.6""
",549.0,27,4.2
"
Lenovo Yoga 530-14ARR AMD Ryzen 3 2200U/4GB/128GB SSD/14"" Táctil
",599.0,29,4.0
"
MSI GE63 Raider RGB 8SF-030ES Intel Core i7-8750H/16GB/1TB + 256GB SSD/RTX 2070/15.6""
",1699.0,1,3.0
"
MSI GP63 Leopard 8RE-675ES Intel Core i7-8750H/16GB/1TB+256SSD/GTX 1060/15.6""
",1299.0,10,4.5
"
MSI PS42 Modern 8RC-088ES Intel Core i7-8550U/16GB/1TB SSD/GTX 1050/14""
",1299.0,4,5.0
"
MSI P65 Creator 8SE-241ES Intel Core i7-8750H/32GB/1TB SSD/RTX 2060/15.6""
",2099.0,2,5.0
"
Portátil Xiaomi Mi Air 13.3"" Reacondicionado
",699.0,46,4.4
"
MSI GE75 Raider 8SF-031ES Intel Core i7-8750H/16GB/512GB SSD + 1TB/RTX 2070/17.3""
",1999.0,13,4.5
"
MSI GL63 8SE-026XES Intel Core i7-8750H/16GB/256GB SSD + 1TB/RTX 2060/15.6""
",1599.0,43,4.7
"
MSI GS65 Stealth 8SG-031ES Intel Core i7-8750H/32GB/512GB SSD/RTX 2080/15.6""
",2389.0,1,5.0
"
MSI P65 Creator 9SF-1017ES Intel Core i9-9880H/64GB/2TB SSD/RTX 2070/15.6""
",3689.0,1,4.0
"
MSI GE75 Raider 9SG-407ES Intel Core i7-9750H/32GB/1TB SSD/RTX 2080/17.3""
",2999.0,1,5.0
"
MSI P65 8RF-445ES Edición Limitada Intel Core i7-8750H/16GB/512GB SSD/GTX 1070/15.6""
",2179.0,12,4.6
"
Acer Swift 3 SF314-52G-50B3 Intel Core i5-8250U/256GB SSD/MX150/14""
",849.0,13,4.2
"
MSI P65 Creator 9SE-407ES Intel Core i7-9750H/32GB/1TB SSD/RTX 2060/15.6""
",2389.0,6,5.0
"
Apple MacBook Pro Intel Core i5 1.4GHz/8GB/256GB SSD/13.3"" Gris Espacial
",1599.0,1,5.0
"
Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Plata
",1349.0,1,5.0
"
MSI GL63 8RD-643XES Intel Core i7-8750H/8GB/1TB+256GB SSD/GTX 1050Ti/15.6""
",949.0,8,4.0
"
MSI GT76 Titan DT 9SG-014ES Intel Core i9-9900K/128GB/2TB SSD/RTX 2080/17.3""
",5299.0,2,4.5
"
MSI GS73 Stealth 8RD-006XES Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX 1050Ti/17.3""
",1199.0,1,4.0
"
Lenovo ideapad 720S-13IKB Intel Core i5-8250U/8GB/256GB SSD/13.3"" Gris
",999.0,9,4.8
"
Huawei Matebook Intel Core i7-8565U/8GB/512GB SSD/13""
",1199.0,1,5.0
"
MSI GS65 Stealth 9SG-453ES Intel Core i7-9750H/32GB/2TB SSD/RTX 2080/15.6""
",3499.0,1,5.0
"
Asus ZenBook UX333FA-A3070T Intel Core i5-8265U/8GB/256GB SSD/13.3""
",898.0,1,4.0
"
MSI GF63 8RD-291XES Intel Core i7-8750H/8GB/1TB+512GB SSD/GTX 1050 Ti/15.6""
",1049.0,13,4.6
"
MSI P65 Creator 8SF-240ES Intel Core i7-8750H/32GB/1TB SSD/RTX 2070/15.6""
",2299.0,2,5.0
"
Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Oro
",1349.0,1,5.0
"
PS63 Modern 8RC-013ES Intel Core i7-8565U/16GB/512GB SSD/GTX 1050/15.6""
",1567.0,23,4.9
"
MSI GP63 Leopard 8RE-684XES Intel Core i7-8750H/16GB/1TB SSD/GTX 1060/15.6""
",1399.0,4,4.8
"
MSI GE75 Raider 8RE-013ES Intel Core i7-8750H/16GB/1TB+512SSD/GTX1060/17.3""
",1539.0,4,4.5
"
MSI P65 8RD-007ES Intel Core i7-8750H/16GB/512GB SSD/GTX 1050Ti/15.6""
",1411.0,12,4.7
"
MSI GT63 Titan 8SG-003ES Intel Core i7-8750H/32GB/1TB + 512GB SSD/RTX 2080/15.6""
",2499.0,1,5.0
"
MSI GS63 Stealth 8RE-060ES Intel Core i7-8750H/16GB/1TB+256SSD/GTX1060/15.6""
",1449.0,5,4.8
"
MSI P65 Creator 8RD-094ES Intel Core i7-8750H/16GB/512GB SSD/GTX 1050Ti/15.6""
",1639.0,2,4.5
"
Apple MacBook Pro Intel Core i5 2.4GHz/8GB/256GB SSD/13.3"" Gris Espacial
",1759.0,1,5.0
"
Medion Akoya E4271 Intel Celeron N4000/4GB/64GB/14"" Táctil
",381.0,8,4.2
"
Asus K540UB-GQ850T Intel Core i7-8550U/8GB/256GB SSD/MX110/15.6""
",699.0,1,5.0
"
HP Pavilion Gaming 15-CX0053NS Intel Core i5-8300H/8GB/1TB/GTX 1050Ti/15.6""
",799.0,22,4.0
